,x,y
man,49.975616,10.104655
woman,52.28076,15.264685
master,49.532536,10.802817
black,40.06618,17.45558
slave,38.612766,14.482982
white,40.904022,17.128197
house,-9.939165,-39.9865
folk,35.91622,20.08866
good,-5.0172343,45.286686
child,50.206158,18.036758
went,3.0552893,-9.825796
year,42.678814,4.066863
said,7.9341297,27.278435
work,17.463987,-26.234726
made,-60.76705,-25.196383
right,-19.184978,34.947853
plantation,39.521954,13.467434
people,35.552414,19.993034
done,-19.653812,34.33312
name,61.690964,4.640053
used,-61.342705,-25.436907
home,47.46812,-25.144209
married,56.742332,8.318377
born,51.78344,-3.3560863
night,-16.56564,-24.597961
told,8.207614,26.964088
yankee,40.720543,-12.785006
took,6.5329504,-11.11151
died,55.546837,8.1540165
day,1.6878159,32.122643
church,10.05983,15.205305
lived,51.63541,-1.3824327
young,45.860863,17.102982
time,1.224109,32.08205
free,40.3672,25.085827
county,55.417953,-6.0773163
eat,-20.394161,-35.39662
slavery,36.314804,16.90833
life,41.41532,4.5856967
field,-14.952558,-42.738735
freedom,40.98394,24.428852
money,31.547897,-21.382193
sold,36.491547,-27.6334
heard,7.3991203,22.081564
called,2.2125375,-9.000906
came,1.577533,-2.8553855
thing,-0.6179574,31.411999
worked,18.390106,-24.818666
family,40.02652,12.53662
want,-1.6659383,38.754
stayed,4.3666663,-7.746776
cotton,-25.185871,-49.665554
hand,-55.164127,0.6385479
wanted,-1.2068455,37.756218
left,6.84533,-6.5394454
school,32.148502,38.307922
named,61.953697,4.205426
hard,-7.495476,43.753265
clothes,-62.72077,-10.222119
john,59.190647,4.89986
plenty,-5.502275,44.517857
bed,-56.12408,-17.908367
horse,-4.9311466,-21.593122
another,8.305953,25.535704
corn,-26.137161,-46.611546
wood,-39.88328,-14.993844
stay,4.6885233,-7.2410417
gwine,-18.617422,35.784275
farm,23.959684,-22.815985
better,-4.1125875,45.442516
seen,4.13685,4.142847
set,-35.262264,16.272049
water,-38.050816,-27.42295
hear,7.4783373,22.04016
jus,-22.985956,29.507551
side,-42.8477,-5.406813
head,-52.792618,1.405616
hit,-37.269524,40.02269
bad,-5.1126266,49.083496
dead,13.381832,41.949657
cook,-16.08508,-35.300735
ca,3.7522032,45.085693
since,42.735325,3.5976
soldier,41.19591,-14.159385
anything,-4.3945813,29.587677
overseer,-6.631572,14.270458
seed,-29.865257,34.14106
enough,-6.874168,39.368435
kept,-26.921423,19.793386
baby,51.598442,18.967125
near,29.319962,-40.369633
raised,29.394152,-31.360691
mile,29.361067,-41.258823
sunday,-15.064025,-18.882006
kind,-14.299377,-3.0057247
yard,-10.964984,-39.99709
town,48.735165,-25.899263
meat,-27.566792,-36.142525
knowed,-27.208542,37.779095
whip,-8.758543,14.286786
gone,-2.6559224,23.103468
talk,-12.931444,41.697918
age,43.22673,5.585261
doctor,-7.191739,-11.655785
fore,-20.94731,34.079372
saw,4.1438804,3.9029462
bought,34.498344,-26.653034
room,-7.293555,-38.455647
goin,-20.82487,21.795574
read,30.285055,42.375187
help,13.020558,-23.861504
thought,3.0545642,23.973263
lord,11.789985,53.140858
arkansas,51.593235,-14.149613
going,1.6679682,-0.5445444
cut,-49.439434,-11.710387
shoe,-65.549904,-7.6333423
tree,-28.184513,-26.4596
foot,-52.112812,-1.8167601
cabin,-9.473543,-39.898518
living,49.258617,-0.7110299
sick,-6.2370915,-11.553207
mean,-5.823303,49.387573
road,31.279902,-44.00868
next,-12.620084,-19.93076
along,-2.8366961,-23.775923
land,25.913658,-23.20651
nobody,-6.817338,33.25587
started,-1.2902822,-10.187647
together,-43.980038,-1.8646433
mighty,-11.844459,60.794907
lot,-11.208409,47.45293
pretty,-10.115631,61.59633
brought,34.964577,-31.006496
river,34.4112,-43.67753
owner,37.810738,13.293545
week,15.513383,-33.430286
last,9.767585,-0.9754281
owned,57.924625,-2.916725
heap,-11.782542,47.612347
beat,-9.533061,17.027939
small,21.422329,-38.061134
ago,28.421097,-11.02339
dr,50.41912,9.228983
new,46.932507,-35.637596
god,12.394295,53.13713
nothing,-1.8314384,28.753853
month,15.764307,-33.28707
dese,-16.555721,40.944977
ku,-9.818522,8.984721
say,21.990356,45.30871
north,53.302986,-19.532686
street,20.446589,-44.22353
great,15.148169,-16.96307
preacher,9.38677,12.692576
fine,-17.611252,4.4308705
care,9.307179,-24.298101
fire,-42.1383,-31.748207
soon,45.47727,-24.853142
belonged,62.36721,3.2166104
south,53.411274,-19.605194
mississippi,52.20272,-14.441235
sent,3.0817413,-15.246113
death,11.763719,42.928215
klux,-7.3881483,10.409531
dress,-62.950024,-9.12742
wore,-66.127235,-9.7132015
moved,51.90635,-0.7276264
whipped,-8.018155,14.174333
found,4.2487903,2.0949852
asked,9.729544,28.41701
log,-43.93085,-20.347408
daddy,50.472992,11.493414
looked,6.629325,27.72123
door,-4.9601307,-39.73792
killed,-17.586824,11.445934
country,55.10677,-24.748766
everything,-1.389218,30.046045
cow,-33.332706,-52.4773
pas,-7.987797,6.446779
hog,-32.22232,-51.463387
hundred,28.137135,-18.620407
food,-23.536583,-35.41478
cooked,-16.578619,-34.60109
whar,-30.04452,30.720005
pay,30.82681,-24.93667
til,-21.402029,32.00199
tom,60.37793,22.058868
find,-5.9284277,24.428453
ise,-0.7802634,53.83331
bread,-34.73879,-41.153732
mule,-5.600285,-21.819233
best,-4.5579414,46.464157
part,35.09657,-5.6619153
morning,-12.767948,-26.145826
even,4.558038,37.88024
dog,-25.419813,0.3357622
something,-6.5365252,29.147987
close,42.210243,-4.079466
mind,5.724498,57.376167
mary,70.023506,12.019266
marry,57.31011,8.271261
george,50.20616,-8.350147
sell,35.53511,-28.250196
leave,5.36932,-6.5211263
chicken,-35.624218,-51.06865
large,21.709824,-38.39005
deir,-26.87425,30.799526
ground,-41.635674,-11.951785
carolina,50.426617,-11.562896
bos,-12.251043,-7.9960423
know,0.26093403,53.826206
lady,51.100243,15.58155
henry,52.457165,7.918922
gave,13.871276,-6.290065
sure,-1.05951,48.307106
jim,60.31935,17.471603
grown,43.874573,17.165497
given,14.691221,-5.5191975
carried,3.9237986,-11.190042
georgia,56.095745,-10.408409
parent,48.82635,14.208099
piece,-54.14814,-11.538272
write,30.068748,41.37575
else,-3.2410266,38.722645
buy,33.01292,-26.532253
whole,-32.12679,24.172455
acre,25.437916,-21.313549
song,1.7168236,11.562313
high,-39.64314,-7.3505573
half,18.578552,-56.71367
state,36.000435,-9.4389925
scared,-16.061932,20.416494
quarter,-9.7427845,-41.228497
dollar,30.666674,-21.902216
wagon,1.111242,-25.358458
livin,3.9928217,-34.861786
red,-50.131638,6.3438377
sing,2.0383432,11.867516
full,-35.32881,-23.076588
able,13.811322,-22.662575
virginia,52.044277,-10.487497
carry,2.8738115,-17.440102
spring,36.5349,-46.470943
davis,43.624878,31.136765
eye,-57.458973,4.021837
learned,29.278788,38.129623
believe,24.17164,26.872303
cloth,-64.003456,-17.53307
wuk,-25.817263,29.41495
wear,-66.201096,-9.636541
several,25.684078,-7.9765353
caught,-13.045528,9.134856
course,3.1616464,31.908758
honey,-16.336521,54.831627
kin,-30.95993,41.631878
mi,54.64339,21.32425
pot,-39.853065,-31.450562
comin,-21.286922,21.294682
front,-4.3677783,-36.874447
somebody,-7.747728,31.157038
light,-20.134573,-26.154558
dance,-19.478916,-14.295314
end,-41.889458,13.244549
joe,60.812115,21.754076
rock,-37.968533,-19.226475
chilluns,49.506336,18.347744
kill,-17.831738,13.326188
story,20.237743,22.81976
winter,-55.427544,-28.700197
member,-31.382763,32.402195
lincoln,42.63644,32.483837
stick,-48.4038,14.058948
knew,8.786192,5.614401
die,10.793071,43.56408
also,17.036055,-11.39958
mam,-12.09961,40.44075
crop,-22.62396,-50.55686
everybody,36.26753,21.405653
turn,-29.102886,9.503042
boat,34.58824,-41.939915
fust,-39.9094,44.50224
walk,-9.8914,-4.324826
word,12.751068,56.656216
hot,-44.317158,-31.452332
trouble,-2.3678145,45.497562
kitchen,-12.324956,-38.060966
love,6.7292147,47.871243
hair,-61.5442,-2.6823661
low,-24.914972,35.378445
folks,-29.403284,29.37088
built,16.179655,-41.542145
clean,7.506524,-39.22466
book,30.093742,44.417076
pick,-16.268757,-48.268345
raise,29.404114,-31.339172
gun,-19.954529,12.111767
broke,-20.412664,10.644213
often,22.045164,-9.785102
dinner,-16.38871,-29.93795
later,28.266865,-10.608493
play,9.164082,-17.632675
christmas,-15.587798,-17.323566
vote,31.979479,31.893099
though,22.82626,51.883774
allowed,18.5471,-3.6685026
taken,6.704441,-11.55928
blue,-65.69937,-1.4825149
mo,-33.93494,41.26672
meal,-34.359013,-42.490685
hill,30.71295,-41.60174
have,-43.89245,33.093765
glad,-6.3218694,56.41009
job,16.1768,-27.126482
ho,-4.5459185,-20.858519
milk,-33.301323,-38.947884
ran,0.16788138,-2.6464014
civil,25.97465,1.3932754
indian,15.081767,15.117483
dan,-31.34916,39.62935
garden,-25.584227,-43.045357
mornin,-12.55929,-26.24533
table,-11.830684,-36.564594
rest,9.497357,-0.9356384
show,-47.30549,38.978542
tried,-1.2693874,36.603508
paid,30.339014,-25.083122
tole,-26.28979,38.80948
floor,-46.18857,-19.51172
bring,3.437077,-17.559746
hold,-52.125584,14.330839
world,13.696013,54.31727
without,15.934744,-0.86677814
poor,-8.707601,52.863102
surrender,39.964294,26.09529
played,9.354239,-17.31104
army,41.567654,-13.894555
others,38.079697,15.237549
sleep,-56.125443,-20.324509
et,-18.723019,-34.408943
face,-56.5693,4.280194
working,18.80804,-25.080957
befo,-21.770523,35.177605
hide,-33.00488,-6.2847705
might,-5.0667887,34.59256
blood,-54.25989,-3.7107215
buried,-34.458492,-16.944221
ask,13.009336,30.57763
friend,32.388454,22.195887
allus,-23.626524,29.376049
block,38.35443,-27.341074
nice,-18.8901,4.44224
green,-29.064865,-43.522903
dark,-19.314201,-25.846533
reckon,-22.086477,43.171165
treated,16.375546,36.26673
cold,-53.136127,-28.346289
nearly,18.584314,-56.71604
aint,-2.0672765,53.46413
hw,57.070858,-32.766315
stand,-37.190807,13.581726
coming,1.0608339,-0.6232406
somethin,-7.458355,29.1843
oman,-28.605421,29.356743
need,-3.1939487,42.195133
tennessee,52.207264,-12.907478
shirt,-63.75753,-9.095165
body,-48.339676,-28.094175
cept,-21.67917,28.115686
one,48.29875,20.339975
today,9.702178,50.367558
general,43.38588,-11.790293
bible,29.139927,44.738335
stop,-28.031603,14.000676
wash,7.0334067,-35.740486
different,25.226572,-5.4510565
bill,59.873325,23.572292
remembers,20.12165,9.934853
fo,-38.91595,37.232437
sam,54.061283,27.12426
stock,-30.319427,-53.92946
must,10.942432,58.987556
brown,0.87365556,-56.743267
top,-47.24436,-3.9528658
person,33.257946,21.795765
open,-4.238809,-43.98065
drink,-24.00275,-19.098684
across,-1.7099384,-3.5334606
sir,-1.640912,61.62396
texas,53.752274,-12.893255
smith,56.7612,3.554122
mah,-39.423065,49.641872
cake,-37.09283,-37.111557
darky,39.810356,18.677336
ready,5.5836678,57.9288
farmed,22.336454,-23.06586
city,47.881035,-0.73956954
place,-5.7840495,6.6316457
turned,-29.302515,9.692328
saturday,-14.616561,-20.266575
second,61.79215,9.831768
anybody,-6.224259,33.474674
wo,2.902161,43.52567
william,60.67276,3.169495
lawd,11.562408,53.817368
lay,-42.129486,12.137805
hole,-43.22341,-18.559164
taught,29.656544,38.338326
mill,35.062737,-38.90099
possum,-23.588827,-5.475598
start,-39.47016,25.478188
git,-22.73325,46.919014
neither,4.7693605,37.391445
shot,-19.713037,11.831974
mar,48.344376,11.451645
real,-13.324152,60.56919
catch,-14.012239,9.86663
williams,57.82364,-1.647217
paper,30.695646,45.82512
leg,-51.08725,-1.8368112
creek,34.953606,-44.315434
fast,-8.727781,43.053562
happy,12.568017,36.858944
roun,-25.465563,25.713932
im,-9.776589,27.548418
pension,32.085224,1.0562739
didnt,1.5795823,41.45645
iron,-39.34419,-32.510902
freed,40.523903,24.420177
jest,-24.474834,61.54751
union,37.11709,-12.93217
learn,28.64029,40.71364
case,-30.75389,46.226765
belong,64.10754,3.010342
early,-18.26461,-23.030033
fight,39.205963,-16.488733
whut,-34.726746,36.642548
sign,20.402214,29.748524
behind,-4.316786,-23.083332
alabama,51.44621,-13.278785
pine,-39.189873,-15.745712
drove,-0.4668571,-23.105402
store,47.54969,-28.709877
fell,-39.42273,5.0078125
voted,33.253075,32.3749
fed,-22.841942,-36.058315
send,2.8101604,-15.842565
come,-25.18472,48.83816
race,22.562174,34.3357
older,45.30546,16.354946
hid,-32.65189,-6.641877
hired,18.253502,-23.48155
step,-3.8034437,-38.83097
fall,-38.991943,4.877929
fish,-21.875858,-5.526585
ought,2.7575583,46.946613
helped,13.65239,-24.675776
rich,55.270336,-25.249523
cross,-32.493114,13.127929
reason,0.73178697,27.659597
cry,-7.5734854,21.070541
feed,-22.385077,-37.011932
jail,38.416294,-1.4213679
tuk,-25.68536,31.40285
sort,-14.938422,-1.9613034
fence,-47.74347,-13.570057
oldest,60.248425,10.011034
teacher,31.91069,38.39622
ax,-19.198248,37.33792
known,33.473385,-4.881862
go,-23.624435,48.052452
wheat,-25.71783,-49.261417
fur,-43.741222,39.844517
summer,-54.411415,-29.035889
hurt,-4.2146125,17.970236
line,33.29409,-43.445442
stopped,2.2479353,-10.754746
finally,27.757524,-9.519644
guess,23.775154,53.572845
business,33.305847,34.14163
chile,-17.861452,55.177856
chair,-5.1790657,-35.677746
ben,61.643723,23.892437
quit,-2.58382,-10.6489725
baptist,12.058406,15.653504
nough,-6.9751797,39.346382
railroad,45.630627,-35.550488
ash,-46.17401,-31.219814
began,-4.7820854,-0.19943465
supper,-15.943676,-29.80458
jones,54.51991,-0.89359367
generation,21.956057,35.32999
train,44.54296,-34.315605
jack,60.502,24.213352
arm,-52.2495,0.8426306
ride,-2.9983866,-18.691767
tied,-45.335674,1.6101741
sun,-51.34513,-23.852877
porch,-4.0796375,-35.625957
washington,39.428764,34.46347
yet,22.9818,52.581482
tea,-49.692104,-37.14951
oclock,-16.81081,-25.130367
dont,3.2088299,45.792595
present,34.408043,10.840873
fireplace,-41.201946,-32.413338
mostly,-24.895348,-45.86955
doin,-18.314915,33.309357
held,12.304386,7.1456957
maybe,-22.529488,44.719498
lost,-36.60302,0.26104996
service,9.930734,10.104839
rabbit,-23.202177,-7.123263
sweet,-38.38611,-38.04755
lowed,-25.813501,34.336018
wait,11.548619,-30.253622
pray,4.8893547,11.055025
pea,-28.889301,-41.94672
tall,-38.491055,-7.1954846
salt,-33.464066,-30.55504
straight,-39.813053,-1.1044077
rode,-3.129001,-17.557451
tell,-28.224949,46.294758
box,-43.14316,-16.049017
kentucky,51.19157,-9.945844
potato,-30.655157,-40.419167
smart,17.884344,40.326664
sometime,-40.017624,37.085747
whipping,-6.7673798,15.666157
picked,-15.85265,-48.75192
captain,49.812073,7.0857277
mad,-7.1251674,52.222225
wild,-23.736347,-8.758156
steal,-31.03252,-8.123495
jeff,43.986935,33.49328
nigh,-32.9501,26.867365
rice,-29.08801,-46.775223
among,25.23173,-2.1318834
sight,-13.079346,24.257761
needed,-3.89144,42.495495
loved,15.005235,37.21878
jane,68.38148,12.345295
washed,6.7336445,-36.96511
raleigh,57.863842,-19.64024
almost,9.05093,-4.989844
recollect,-3.5326567,50.327827
whiskey,-25.784082,-18.987848
neck,-50.322586,-2.2630653
bit,15.912723,4.8872185
walked,-9.881871,-4.3084636
thomas,56.94313,-6.535363
runnin,-12.750871,25.171656
sich,-13.243728,46.785088
battle,39.25704,-17.980282
awful,-11.934449,61.769543
visit,-8.6713,4.425036
burn,-36.28169,-2.2689414
number,25.439394,-7.7299156
gittin,-16.18244,28.591341
stole,-31.870752,-7.4124455
chance,1.5303501,27.355513
became,28.104956,7.7461753
ration,-25.513569,-36.61773
corner,19.887539,-45.12368
colonel,51.635536,4.7543354
mine,-26.10518,61.88174
teach,29.739367,40.711224
feel,-2.0277617,19.134005
bottom,-45.136272,-28.15442
mouth,-44.08722,-36.672874
whupped,-11.513504,18.707685
president,37.189034,32.532932
seem,22.047523,37.044476
loose,-23.49359,13.823521
servant,43.179768,11.032618
lookin,-16.8611,22.014597
slept,-56.29892,-20.443491
tellin,3.1369212,51.859154
lef,-30.098473,48.008186
younger,45.112328,15.188532
robert,60.383434,0.67738396
seems,21.987503,36.16724
hour,-16.352114,-26.326666
wen,-38.6875,39.844166
oak,-26.960075,-26.194414
short,-60.260853,-8.702089
johnson,57.311558,3.1066825
tuh,-38.58158,49.588684
law,28.300262,22.343414
stood,-42.05515,7.3358116
pound,12.613779,-49.47855
cooking,-15.228955,-34.399082
getting,10.541948,-9.418052
upon,13.70491,-3.6583245
meetin,7.3506823,10.744546
nurse,9.606028,-28.12746
ob,-44.45811,42.08514
ol,-30.70839,49.349712
widout,-17.119291,28.959991
bob,54.275707,13.831859
board,-45.490475,-18.044031
happened,20.324411,15.010183
color,-47.08058,-37.971928
patch,-19.881168,-46.760334
game,-19.992186,-9.703047
wooden,-39.975502,-25.529991
met,5.8484907,-1.8775529
workin,4.7367525,-33.02428
fellow,48.102795,9.043313
tr,56.18188,-32.37142
passed,-3.892061,-5.685198
crowd,-11.953332,-9.756427
sot,-35.168365,16.87827
plow,-17.747488,-43.706825
neighbor,-11.008776,2.4441764
make,-20.560423,47.610016
driver,0.38303456,-27.789341
st,63.808495,-11.96136
men,-29.574747,27.166378
cried,53.71453,21.021736
coffee,-32.958565,-44.70785
looking,-2.0393567,2.000531
barn,-20.37277,-53.775864
except,20.065815,-14.210085
liked,-1.7751623,27.446833
heavy,-45.177254,-10.27675
sit,-35.83214,15.46905
ghost,21.643848,29.157726
speak,-12.980654,41.9615
strong,29.507013,-4.3630443
abraham,42.603455,32.434612
willis,10.175921,28.71674
cent,30.584242,-22.33032
meeting,7.924263,10.0627165
dirt,-40.82181,-19.843502
jackson,59.78266,0.3845463
sugar,-32.602573,-45.54144
patroller,-8.007601,8.830933
medicine,-52.305435,-37.792202
silver,-32.00818,-17.443796
root,-50.586296,-37.320282
warm,-52.64074,-28.246532
laid,-42.19626,11.805881
afraid,2.8925452,23.637447
nuthin,-34.050167,37.76943
wrong,9.010821,33.1126
forty,28.446924,-16.139277
burned,-37.074085,-0.8855703
share,28.157282,-24.990515
nancy,72.682625,9.745083
james,54.102253,5.9353585
carriage,0.29738167,-27.59019
settin,-34.114883,14.908909
flour,-34.23674,-44.541927
talkin,-15.159117,32.055035
bell,-60.457893,6.9110126
marriage,-23.350979,5.815559
billy,59.5718,20.494967
hat,-62.213284,-5.4968123
hunt,-25.239141,-3.9812818
exslave,25.526295,4.837177
heart,12.835465,50.210743
frum,-35.876984,34.34653
prayer,5.691476,10.612274
usually,20.204132,-7.7797766
louisiana,52.76903,-12.123915
camp,37.90842,-40.70022
seemed,24.30125,14.927773
borned,51.527313,-3.2695892
ed,60.19241,16.572706
le,-2.1787262,41.652523
truth,5.3881345,51.76762
making,9.834283,-10.279815
weather,-55.792393,-28.476402
wish,9.197624,44.631214
gate,-2.3140166,-27.558786
devil,-22.835865,61.59482
talked,10.903189,21.088682
company,45.275616,-33.253456
row,-13.471121,-41.906666
weddin,-20.937824,4.457738
matter,9.25207,31.754404
hardly,-11.196031,40.3511
lee,45.883167,-11.012586
durin,-34.24009,31.77146
straw,-53.992413,-17.543085
quite,22.418182,12.574409
late,-11.519171,-22.58857
gin,-21.379118,-52.136566
ketch,-14.307266,10.04333
office,36.017372,0.65699255
barrel,-31.739666,-30.513952
fly,-28.916023,-21.849834
peace,42.1594,24.04975
candy,-34.220066,-34.988167
wall,-44.49168,-17.558365
lizzie,71.87898,7.5685787
nex,-27.12348,33.032448
holler,-27.983418,6.3843946
certain,16.425694,-5.215746
saved,11.823871,1.5657045
doan,-27.664076,45.22135
bother,5.856943,35.637077
fix,-20.354252,0.88164634
declared,31.353395,8.286619
leaf,-47.6427,-32.990944
post,-44.51745,-0.52016854
pull,-48.905544,8.219423
turkey,-36.011482,-50.319134
change,16.422794,47.514404
southern,35.574203,-10.827529
pulled,-44.06957,5.3235545
breakfast,-17.221779,-30.583796
save,11.765165,1.4583799
judge,45.443428,-0.6258835
jump,-26.590044,7.59612
look,-25.452618,50.105217
ate,-17.703072,-33.405926
hung,-45.454643,4.1711526
get,-20.758821,48.409813
graveyard,-34.543385,-15.018504
shoulder,-56.544014,-0.11715932
plain,-62.0931,-15.854836
fum,-29.717203,32.146675
fact,27.770668,11.616904
sheep,-31.874327,-53.050426
fixed,-20.382284,1.0263449
government,28.379274,0.6508616
dressed,-62.346973,-2.9434311
confederate,38.086834,-12.408331
biscuit,-35.56911,-40.759583
skeered,-16.622086,20.777866
whippin,-8.704914,15.782796
hoe,-17.710295,-43.713524
